"Statistic Label","CensusYear","Sex","Age Group","Birthplace","UNIT","VALUE"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Zimbabwe","Number","435"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Other Africa(2)","Number","304"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Afghanistan","Number","141"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Bahrain","Number","65"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Bangladesh","Number","351"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Myanmar","Number","50"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","China","Number","2304"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","United Arab Emirates (the)","Number","179"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Georgia","Number","101"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Hong Kong","Number","251"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","India","Number","1096"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Indonesia","Number","22"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Iran (Islamic Republic of)","Number","94"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Iraq","Number","352"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Israel","Number","68"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Japan","Number","142"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Jordan","Number","55"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Kazakhstan","Number","104"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Kuwait","Number","259"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Lao People's Democratic Republic (the)","Number","7"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Lebanon","Number","39"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Malaysia","Number","837"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Mongolia","Number","47"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Nepal","Number","161"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Oman","Number","46"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Pakistan","Number","1135"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Philippines (the)","Number","1251"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Saudi Arabia","Number","763"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Singapore","Number","91"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Korea (the Republic of) South Korea","Number","160"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Sri Lanka","Number","32"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Syrian Arab Republic (the)","Number","29"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Taiwan (Province of China)","Number","28"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Thailand","Number","182"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Uzbekistan","Number","42"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Viet Nam","Number","103"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Other Asia(1)","Number","256"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","United States of America (the)","Number","5397"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Argentina","Number","64"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Brazil","Number","2232"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Canada","Number","888"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Chile","Number","31"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Colombia","Number","29"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Cuba","Number","24"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Guatemala","Number","45"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Jamaica","Number","23"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Mexico","Number","160"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Peru","Number","31"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Trinidad and Tobago","Number","37"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Venezuela (Bolivarian Republic of)","Number","81"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Other America(2)","Number","193"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Australia","Number","1265"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","New Zealand","Number","176"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Other countries","Number","25"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","All countries","Number","1429975"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Ireland - county of usual residence","Number","736424"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Ireland - county other than county of usual residence","Number","311594"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Northern Ireland","Number","19972"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Scotland","Number","6667"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","England and Wales","Number","74535"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Austria","Number","343"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Belgium","Number","621"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Bulgaria","Number","1136"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Croatia","Number","619"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Cyprus","Number","94"
"Population Usually Resident and Present in the State","2011","Both sexes","25 - 44 years","Czechia","Number","3711"
